serial_name,gunpla_id,model_id,part_types,parts_count,primary_ch_archive,has_ch_archive,ch_archives,source_tables
RX-78-2,10000,10000,head; body; arms; legs; backpack,25,ch/10000.arc,yes,ch/10000.arc; ch/10000_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
RX-78-2,10000,10100,long_weapon,5,ch/10100.arc,yes,ch/10100.arc; ch/10100_vfx.arc,table_long_weapon.etwl
RX-78-2,10000,10600,long_weapon,4,ch/10600.arc,yes,ch/10600.arc; ch/10600_vfx.arc,table_long_weapon.etwl
RX-78-2,10000,11100,short_weapon,4,ch/11100.arc,yes,ch/11100.arc; ch/11100_mot.arc; ch/11100_vfx.arc,table_short_weapon.etws
RX-78-2,10000,11500,short_weapon,2,ch/11500.arc,yes,ch/11500.arc; ch/11500_mot.arc; ch/11500_vfx.arc,table_short_weapon.etws
RX-78-2,10000,11607,short_weapon,2,ch/11607.arc,yes,ch/11607.arc; ch/11607_mot.arc; ch/11607_vfx.arc,table_short_weapon.etws
RX-78-2,10000,12100,shield,4,ch/12100.arc,yes,ch/12100.arc; ch/12100_vfx.arc,table_shield.ets
RX-78-2,19000,10000,head; body; arms; legs; backpack,5,ch/10000.arc,yes,ch/10000.arc; ch/10000_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
RX-78-2,19000,10100,long_weapon,1,ch/10100.arc,yes,ch/10100.arc; ch/10100_vfx.arc,table_long_weapon.etwl
RX-78-2,19000,10600,long_weapon,1,ch/10600.arc,yes,ch/10600.arc; ch/10600_vfx.arc,table_long_weapon.etwl
RX-78-2,19000,11100,short_weapon,1,ch/11100.arc,yes,ch/11100.arc; ch/11100_mot.arc; ch/11100_vfx.arc,table_short_weapon.etws
RX-78-2,19000,11500,short_weapon,1,ch/11500.arc,yes,ch/11500.arc; ch/11500_mot.arc; ch/11500_vfx.arc,table_short_weapon.etws
RX-78-2,19000,12100,shield,1,ch/12100.arc,yes,ch/12100.arc; ch/12100_vfx.arc,table_shield.ets
RX-78NT-1,10004,10004,head; body; arms; legs; backpack,10,ch/10004.arc,yes,ch/10004.arc; ch/10004_mot.arc; ch/10004_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
RX-78NT-1,10004,10102,long_weapon,2,ch/10102.arc,yes,ch/10102.arc; ch/10102_vfx.arc,table_long_weapon.etwl
RX-78NT-1,10004,12130,shield,2,ch/12130.arc,yes,ch/12130.arc; ch/12130_vfx.arc,table_shield.ets
RX-78GP01,10005,10005,head; body; arms; legs; backpack,25,ch/10005.arc,yes,ch/10005.arc; ch/10005_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
RX-78GP01,10005,10103,long_weapon,4,ch/10103.arc,yes,ch/10103.arc; ch/10103_vfx.arc,table_long_weapon.etwl
RX-78GP01,10005,12131,shield,5,,no,,table_shield.ets
RX-75,10009,10009,head; body; arms; legs; backpack,15,ch/10009.arc,yes,ch/10009.arc; ch/10009_mot.arc; ch/10009_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
RX-77-2,10010,10010,head; body; arms; legs; backpack,10,ch/10010.arc,yes,ch/10010.arc; ch/10010_mot.arc; ch/10010_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
RX-77-2,10010,10301,long_weapon,2,ch/10301.arc,yes,ch/10301.arc; ch/10301_mot.arc; ch/10301_vfx.arc,table_long_weapon.etwl
RGM-79,10011,10011,head; body; arms; legs; backpack,10,ch/10011.arc,yes,ch/10011.arc; ch/10011_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
RGM-79,10011,10104,long_weapon,2,ch/10104.arc,yes,ch/10104.arc; ch/10104_mot.arc; ch/10104_vfx.arc,table_long_weapon.etwl
RGM-79,10011,12102,shield,2,ch/12102.arc,yes,ch/12102.arc; ch/12102_mot.arc; ch/12102_vfx.arc,table_shield.ets
RGM-79GS,10012,10012,head; body; arms; legs; backpack,10,ch/10012.arc,yes,ch/10012.arc; ch/10012_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
RGM-79GS,10012,10105,long_weapon,2,ch/10105.arc,yes,ch/10105.arc; ch/10105_mot.arc; ch/10105_vfx.arc,table_long_weapon.etwl
RGM-79GS,10012,10401,long_weapon,2,ch/10401.arc,yes,ch/10401.arc; ch/10401_vfx.arc,table_long_weapon.etwl
RGM-79GS,10012,12103,shield,2,ch/12103.arc,yes,ch/12103.arc; ch/12103_mot.arc; ch/12103_vfx.arc,table_shield.ets
RGM-79N,10013,10013,head; body; arms; legs; backpack,10,ch/10013.arc,yes,ch/10013.arc; ch/10013_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
RGM-79N,10013,12104,shield,2,ch/12104.arc,yes,ch/12104.arc; ch/12104_mot.arc; ch/12104_vfx.arc,table_shield.ets
MS-06,10014,10014,head; body; arms; legs; backpack,10,ch/10014.arc,yes,ch/10014.arc; ch/10014_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
MS-06,10014,10402,long_weapon,2,,no,,table_long_weapon.etwl
MS-06,10014,10604,long_weapon,2,ch/10604.arc,yes,ch/10604.arc; ch/10604_mot.arc; ch/10604_vfx.arc,table_long_weapon.etwl
MS-06,10014,11300,short_weapon,2,ch/11300.arc,yes,ch/11300.arc; ch/11300_mot.arc; ch/11300_vfx.arc,table_short_weapon.etws
MS-06F,10016,10016,head; body; arms; legs; backpack,10,ch/10016.arc,yes,ch/10016.arc; ch/10016_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
MS-06FS,10017,10017,head; body; arms; legs; backpack,10,ch/10017.arc,yes,ch/10017.arc; ch/10017_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
MS-06FS,10017,10302,long_weapon,2,ch/10302.arc,yes,ch/10302.arc; ch/10302_vfx.arc,table_long_weapon.etwl
MS-06FS,10017,11301,short_weapon,2,ch/11301.arc,yes,ch/11301.arc; ch/11301_mot.arc; ch/11301_vfx.arc,table_short_weapon.etws
MS-06FS,10017,11307,short_weapon,2,,no,,table_short_weapon.etws
MS-06S,10018,10018,head; body; arms; legs; backpack,10,ch/10018.arc,yes,ch/10018.arc; ch/10018_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
MS-06FZ,10021,10021,head; body; arms; legs; backpack,10,ch/10021.arc,yes,ch/10021.arc; ch/10021_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
MS-06FZ,10021,10411,long_weapon,2,,no,,table_long_weapon.etwl
MS-09,10023,10023,head; body; arms; legs; backpack,10,ch/10023.arc,yes,ch/10023.arc; ch/10023_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
MS-09F/TROP,10024,10024,head; body; arms; legs; backpack,10,ch/10024.arc,yes,ch/10024.arc; ch/10024_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
MS-09F/TROP,10024,10605,long_weapon,2,ch/10605.arc,yes,ch/10605.arc; ch/10605_mot.arc; ch/10605_vfx.arc,table_long_weapon.etwl
MS-09F/TROP,10025,10025,head; body; arms; legs; backpack,10,ch/10025.arc,yes,ch/10025.arc; ch/10025_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
MS-07B,10026,10026,head; body; arms; legs; backpack,10,ch/10026.arc,yes,ch/10026.arc; ch/10026_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
MS-07B,10026,11101,short_weapon,2,ch/11101.arc,yes,ch/11101.arc; ch/11101_mot.arc; ch/11101_vfx.arc,table_short_weapon.etws
MS-07B,10026,12153,shield,2,,no,,table_shield.ets
MS-14C,10029,10029,head; body; arms; legs; backpack,10,ch/10029.arc,yes,ch/10029.arc; ch/10029_mot.arc; ch/10029_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
MS-14JG,10030,10030,head; body; arms; legs; backpack,10,ch/10030.arc,yes,ch/10030.arc; ch/10030_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
MS-14JG,10030,10403,long_weapon,2,,no,,table_long_weapon.etwl
MSM-04,10032,10032,head; body; arms; legs; backpack,15,ch/10032.arc,yes,ch/10032.arc; ch/10032_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
MSM-07,10033,10033,head; body; arms; legs; backpack,15,ch/10033.arc,yes,ch/10033.arc; ch/10033_mot.arc; ch/10033_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
MSM-03C,10034,10034,head; body; arms; legs; backpack,20,ch/10034.arc,yes,ch/10034.arc; ch/10034_mot.arc; ch/10034_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
MS-18E,10036,10036,head; body; arms; legs; backpack,20,ch/10036.arc,yes,ch/10036.arc; ch/10036_mot.arc; ch/10036_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
MS-18E,10036,10200,long_weapon,1,ch/10200.arc,yes,ch/10200.arc; ch/10200_mot.arc; ch/10200_vfx.arc,table_long_weapon.etwl
MS-18E,10036,11601,short_weapon,1,,no,,table_short_weapon.etws
AGX-04,10037,10037,head; body; arms; legs; backpack,15,ch/10037.arc,yes,ch/10037.arc; ch/10037_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
AGX-04,10037,10405,long_weapon,3,,no,,table_long_weapon.etwl
