"archive_path","archive_group","archive_stem","numeric_id","archive_role","size_bytes","reason"
"ar/0.arc","ar","0","","other","4313784","not_present_in_gbm_archive_lookup_index"
"ar/1.arc","ar","1","","other","2301664","not_present_in_gbm_archive_lookup_index"
"ar/10.arc","ar","10","","other","2905016","not_present_in_gbm_archive_lookup_index"
"ar/11.arc","ar","11","","other","5636672","not_present_in_gbm_archive_lookup_index"
"ar/12.arc","ar","12","","other","3518560","not_present_in_gbm_archive_lookup_index"
"ar/13.arc","ar","13","","other","5718664","not_present_in_gbm_archive_lookup_index"
"ar/14.arc","ar","14","","other","5644656","not_present_in_gbm_archive_lookup_index"
"ar/15.arc","ar","15","","other","3527144","not_present_in_gbm_archive_lookup_index"
"ar/16.arc","ar","16","","other","3133336","not_present_in_gbm_archive_lookup_index"
"ar/17.arc","ar","17","","other","2778616","not_present_in_gbm_archive_lookup_index"
"ar/18.arc","ar","18","","other","1901232","not_present_in_gbm_archive_lookup_index"
"ar/19.arc","ar","19","","other","4960568","not_present_in_gbm_archive_lookup_index"
"ar/2.arc","ar","2","","other","3576632","not_present_in_gbm_archive_lookup_index"
"ar/20.arc","ar","20","","other","3431704","not_present_in_gbm_archive_lookup_index"
"ar/21.arc","ar","21","","other","4314728","not_present_in_gbm_archive_lookup_index"
"ar/22.arc","ar","22","","other","4117200","not_present_in_gbm_archive_lookup_index"
"ar/23.arc","ar","23","","other","3521072","not_present_in_gbm_archive_lookup_index"
"ar/24.arc","ar","24","","other","3721536","not_present_in_gbm_archive_lookup_index"
"ar/25.arc","ar","25","","other","5431048","not_present_in_gbm_archive_lookup_index"
"ar/26.arc","ar","26","","other","4137616","not_present_in_gbm_archive_lookup_index"
"ar/27.arc","ar","27","","other","3577624","not_present_in_gbm_archive_lookup_index"
"ar/3.arc","ar","3","","other","3434840","not_present_in_gbm_archive_lookup_index"
"ar/4.arc","ar","4","","other","3780576","not_present_in_gbm_archive_lookup_index"
"ar/5.arc","ar","5","","other","2860880","not_present_in_gbm_archive_lookup_index"
"ar/6.arc","ar","6","","other","1900312","not_present_in_gbm_archive_lookup_index"
"ar/7.arc","ar","7","","other","2302632","not_present_in_gbm_archive_lookup_index"
"ar/8.arc","ar","8","","other","5625680","not_present_in_gbm_archive_lookup_index"
"ar/9.arc","ar","9","","other","3864568","not_present_in_gbm_archive_lookup_index"
"bo/1000010.arc","bo","1000010","","other","272376","not_present_in_gbm_archive_lookup_index"
"bo/1000110.arc","bo","1000110","","other","282992","not_present_in_gbm_archive_lookup_index"
"bo/1000210.arc","bo","1000210","","other","343216","not_present_in_gbm_archive_lookup_index"
"bo/1000310.arc","bo","1000310","","other","344088","not_present_in_gbm_archive_lookup_index"
"bo/1000410.arc","bo","1000410","","other","293256","not_present_in_gbm_archive_lookup_index"
"bo/1000510.arc","bo","1000510","","other","255096","not_present_in_gbm_archive_lookup_index"
"bo/1000610.arc","bo","1000610","","other","311264","not_present_in_gbm_archive_lookup_index"
"bo/1000710.arc","bo","1000710","","other","329400","not_present_in_gbm_archive_lookup_index"
"bo/1000810.arc","bo","1000810","","other","311728","not_present_in_gbm_archive_lookup_index"
"bo/1000910.arc","bo","1000910","","other","282560","not_present_in_gbm_archive_lookup_index"
"bo/1001010.arc","bo","1001010","","other","300984","not_present_in_gbm_archive_lookup_index"
"bo/1001110.arc","bo","1001110","","other","289712","not_present_in_gbm_archive_lookup_index"
"bo/1001210.arc","bo","1001210","","other","303936","not_present_in_gbm_archive_lookup_index"
"bo/1001310.arc","bo","1001310","","other","293048","not_present_in_gbm_archive_lookup_index"
"bo/1001410.arc","bo","1001410","","other","276168","not_present_in_gbm_archive_lookup_index"
"bo/1001620.arc","bo","1001620","","other","425384","not_present_in_gbm_archive_lookup_index"
"bo/1001710.arc","bo","1001710","","other","250096","not_present_in_gbm_archive_lookup_index"
"bo/1001810.arc","bo","1001810","","other","253024","not_present_in_gbm_archive_lookup_index"
"bo/1001910.arc","bo","1001910","","other","349584","not_present_in_gbm_archive_lookup_index"
"bo/1002010.arc","bo","1002010","","other","339856","not_present_in_gbm_archive_lookup_index"
"bo/1002110.arc","bo","1002110","","other","324320","not_present_in_gbm_archive_lookup_index"
"bo/1002310.arc","bo","1002310","","other","299888","not_present_in_gbm_archive_lookup_index"
"bo/1002410.arc","bo","1002410","","other","238632","not_present_in_gbm_archive_lookup_index"
"bo/1002510.arc","bo","1002510","","other","260224","not_present_in_gbm_archive_lookup_index"
"bo/1002610.arc","bo","1002610","","other","291640","not_present_in_gbm_archive_lookup_index"
"bo/1002710.arc","bo","1002710","","other","283016","not_present_in_gbm_archive_lookup_index"
"bo/1002810.arc","bo","1002810","","other","250080","not_present_in_gbm_archive_lookup_index"
"bo/1002910.arc","bo","1002910","","other","301760","not_present_in_gbm_archive_lookup_index"
"bo/1003010.arc","bo","1003010","","other","332088","not_present_in_gbm_archive_lookup_index"
"bo/1003210.arc","bo","1003210","","other","293904","not_present_in_gbm_archive_lookup_index"
"bo/1003310.arc","bo","1003310","","other","315392","not_present_in_gbm_archive_lookup_index"
"bo/1003410.arc","bo","1003410","","other","350600","not_present_in_gbm_archive_lookup_index"
"bo/1003510.arc","bo","1003510","","other","298744","not_present_in_gbm_archive_lookup_index"
"bo/1003610.arc","bo","1003610","","other","334784","not_present_in_gbm_archive_lookup_index"
"bo/1003710.arc","bo","1003710","","other","300664","not_present_in_gbm_archive_lookup_index"
"bo/1003810.arc","bo","1003810","","other","304656","not_present_in_gbm_archive_lookup_index"
"bo/1003910.arc","bo","1003910","","other","320328","not_present_in_gbm_archive_lookup_index"
"bo/1004110.arc","bo","1004110","","other","255744","not_present_in_gbm_archive_lookup_index"
"bo/1008920.arc","bo","1008920","","other","345176","not_present_in_gbm_archive_lookup_index"
"bo/1010010.arc","bo","1010010","","other","299176","not_present_in_gbm_archive_lookup_index"
"bo/1010210.arc","bo","1010210","","other","271464","not_present_in_gbm_archive_lookup_index"
"bo/1010410.arc","bo","1010410","","other","256864","not_present_in_gbm_archive_lookup_index"
"bo/1010510.arc","bo","1010510","","other","259000","not_present_in_gbm_archive_lookup_index"
"bo/1010610.arc","bo","1010610","","other","330976","not_present_in_gbm_archive_lookup_index"
"bo/1010710.arc","bo","1010710","","other","242800","not_present_in_gbm_archive_lookup_index"
"bo/1010810.arc","bo","1010810","","other","214656","not_present_in_gbm_archive_lookup_index"
"bo/1020010.arc","bo","1020010","","other","341552","not_present_in_gbm_archive_lookup_index"
"bo/1020110.arc","bo","1020110","","other","333680","not_present_in_gbm_archive_lookup_index"
