serial_name,gunpla_id,model_id,part_type,parts_id,parts_name_id,table_file,has_ch_archive,ch_archives,has_we_archive,we_archives
RX-78-2,10000,10100,long_weapon,31000001,1589,table_long_weapon.etwl,yes,ch/210100.arc,yes,we/31000001.arc
RX-78-2,19000,10100,long_weapon,31900001,1590,table_long_weapon.etwl,yes,ch/210100.arc,yes,we/31900001.arc
RX-78-2,10000,10600,long_weapon,31000006,1591,table_long_weapon.etwl,yes,ch/210600.arc,yes,we/31000006.arc
RX-78-2,19000,10600,long_weapon,31900006,1592,table_long_weapon.etwl,yes,ch/210600.arc,yes,we/31900006.arc
RX-79[G],10002,10101,long_weapon,31000201,1593,table_long_weapon.etwl,yes,ch/210101.arc,yes,we/31000201.arc
RX-79[G],10002,10300,long_weapon,31000204,1594,table_long_weapon.etwl,yes,ch/210300.arc,yes,we/31000204.arc
RX-79[G],10002,10400,long_weapon,31000202,1595,table_long_weapon.etwl,yes,ch/210400.arc,yes,we/31000202.arc
RX-79[G],10002,10601,long_weapon,31000206,1596,table_long_weapon.etwl,yes,ch/210601.arc,yes,we/31000206.arc
RX-78NT-1,10004,10102,long_weapon,31000401,1597,table_long_weapon.etwl,yes,ch/210102.arc,yes,we/31000401.arc
RX-78GP01,10005,10103,long_weapon,31000501,1598,table_long_weapon.etwl,yes,ch/210103.arc,yes,we/31000501.arc
RX-78GP02A,10007,10602,long_weapon,31000706,1599,table_long_weapon.etwl,yes,ch/210602.arc,yes,we/31000706.arc
RX-78GP03S,10008,10603,long_weapon,31000806,1600,table_long_weapon.etwl,yes,ch/210603.arc,yes,we/31000806.arc
RX-77-2,10010,10301,long_weapon,31001004,1601,table_long_weapon.etwl,yes,ch/210301.arc,yes,we/31001004.arc
RGM-79,10011,10104,long_weapon,31001101,1602,table_long_weapon.etwl,yes,ch/210104.arc,yes,we/31001101.arc
RGM-79GS,10012,10105,long_weapon,31001201,1603,table_long_weapon.etwl,yes,ch/210105.arc,yes,we/31001201.arc
RGM-79GS,10012,10401,long_weapon,31001202,1604,table_long_weapon.etwl,yes,ch/210401.arc,yes,we/31001202.arc
MS-06,10014,10402,long_weapon,31001402,1605,table_long_weapon.etwl,yes,ch/210402.arc,yes,we/31001402.arc
MS-06,10014,10604,long_weapon,31001406,1606,table_long_weapon.etwl,yes,ch/210604.arc,yes,we/31001406.arc
MS-06FS,10017,10302,long_weapon,31001704,1607,table_long_weapon.etwl,yes,ch/210302.arc,yes,we/31001704.arc
MS-06FZ,10021,10411,long_weapon,31002102,1608,table_long_weapon.etwl,yes,ch/210411.arc,yes,we/31002102.arc
MS-09F/TROP,10024,10605,long_weapon,31002406,1609,table_long_weapon.etwl,yes,ch/210605.arc,yes,we/31002406.arc
MS-07B-3,10027,10500,long_weapon,31002705,1610,table_long_weapon.etwl,yes,ch/210500.arc,yes,we/31002705.arc
MS-14JG,10030,10403,long_weapon,31003002,1611,table_long_weapon.etwl,yes,ch/210403.arc,yes,we/31003002.arc
MS-18E,10036,10200,long_weapon,31003603,1612,table_long_weapon.etwl,yes,ch/210200.arc,no,
AGX-04,10037,10405,long_weapon,31003702,1613,table_long_weapon.etwl,yes,ch/210405.arc,yes,we/31003702.arc
RX-178,10100,10108,long_weapon,31010001,1614,table_long_weapon.etwl,yes,ch/210108.arc,yes,we/31010001.arc
RX-178,10100,10607,long_weapon,31010006,1615,table_long_weapon.etwl,yes,ch/210607.arc,yes,we/31010006.arc
MSN-00100,10104,10109,long_weapon,31010401,1616,table_long_weapon.etwl,yes,ch/210109.arc,yes,we/31010401.arc
MSN-00100,10104,10608,long_weapon,31010406,1617,table_long_weapon.etwl,yes,ch/210608.arc,yes,we/31010406.arc
MSZ-006,10105,10303,long_weapon,31010501,1618,table_long_weapon.etwl,yes,ch/210303.arc,yes,we/31010501.arc
MSZ-006,10105,10304,long_weapon,31010514,1619,table_long_weapon.etwl,yes,ch/210304.arc,yes,we/31010514.arc
PMX-003,10107,10110,long_weapon,31010701,1620,table_long_weapon.etwl,yes,ch/210110.arc,yes,we/31010701.arc
MSZ-010,10200,10111,long_weapon,31020001,1621,table_long_weapon.etwl,yes,ch/210111.arc,yes,we/31020001.arc
RX-93,10300,10112,long_weapon,31030001,1622,table_long_weapon.etwl,yes,ch/210112.arc,yes,we/31030001.arc
FA-93HWS,12317,10305,long_weapon,31231704,1623,table_long_weapon.etwl,yes,ch/210305.arc,yes,we/31231704.arc
RX-93,10300,10609,long_weapon,31030006,1624,table_long_weapon.etwl,yes,ch/210609.arc,yes,we/31030006.arc
AMS-119,10303,10406,long_weapon,31030302,1625,table_long_weapon.etwl,yes,ch/210406.arc,yes,we/31030302.arc
MSN-03,10305,10414,long_weapon,31030501,1626,table_long_weapon.etwl,yes,ch/210414.arc,yes,we/31030501.arc
MSN-03,10306,10502,long_weapon,31030605,1627,table_long_weapon.etwl,yes,ch/210502.arc,yes,we/31030605.arc
MSN-04,10307,10113,long_weapon,31030701,1628,table_long_weapon.etwl,yes,ch/210113.arc,yes,we/31030701.arc
F91,10400,10115,long_weapon,31040011,1629,table_long_weapon.etwl,yes,ch/210115.arc,yes,we/31040011.arc
F91,10400,10610,long_weapon,31040016,1630,table_long_weapon.etwl,yes,ch/210610.arc,yes,we/31040016.arc
F91,10400,10115,long_weapon,31040001,1631,table_long_weapon.etwl,yes,ch/210115.arc,yes,we/31040001.arc
F91,10400,10610,long_weapon,31040006,1632,table_long_weapon.etwl,yes,ch/210610.arc,yes,we/31040006.arc
F91,10400,10115,long_weapon,31040021,1633,table_long_weapon.etwl,yes,ch/210115.arc,yes,we/31040021.arc
F91,10400,10610,long_weapon,31040026,1634,table_long_weapon.etwl,yes,ch/210610.arc,yes,we/31040026.arc
XM-01,10401,10407,long_weapon,31040102,1635,table_long_weapon.etwl,yes,ch/210407.arc,yes,we/31040102.arc
XM-X1,10500,10148,long_weapon,31050001,1636,table_long_weapon.etwl,yes,ch/210148.arc,yes,we/31050001.arc
XM-X1 Kai Kai,10501,10116,long_weapon,31050101,1637,table_long_weapon.etwl,yes,ch/210116.arc,yes,we/31050101.arc
LM312V04,10600,10117,long_weapon,31060001,1638,table_long_weapon.etwl,yes,ch/210117.arc,yes,we/31060001.arc
LM312V04 <FEED>+SD-VB03A,10602,10306,long_weapon,31060204,1639,table_long_weapon.etwl,yes,ch/210306.arc,yes,we/31060204.arc
LM312V04 <FEED>+SD-VB03A,10602,10503,long_weapon,31060205,1640,table_long_weapon.etwl,yes,ch/210503.arc,yes,we/31060205.arc
LM314V21,10603,10118,long_weapon,31060301,1641,table_long_weapon.etwl,yes,ch/210118.arc,yes,we/31060301.arc
LM314V24,10604,10307,long_weapon,31060404,1642,table_long_weapon.etwl,yes,ch/210307.arc,yes,we/31060404.arc
XXXG-01W,10800,10130,long_weapon,31080001,1643,table_long_weapon.etwl,yes,ch/210130.arc,yes,we/31080001.arc
XXXG-01W,19800,10130,long_weapon,31980001,1644,table_long_weapon.etwl,yes,ch/210130.arc,yes,we/31980001.arc
XXXG-01W,10801,10308,long_weapon,31080101,1645,table_long_weapon.etwl,yes,ch/210308.arc,yes,we/31080101.arc
XXXG-00W0,10802,10204,long_weapon,31080203,1646,table_long_weapon.etwl,yes,ch/210204.arc,yes,we/31080203.arc
XXXG-00W0,10803,10311,long_weapon,31080303,1647,table_long_weapon.etwl,yes,ch/210311.arc,yes,we/31080303.arc
XXXG-01H,10805,10504,long_weapon,31080505,1648,table_long_weapon.etwl,yes,ch/210504.arc,yes,we/31080505.arc
OZ-00MS,10812,10310,long_weapon,31081204,1649,table_long_weapon.etwl,yes,ch/210310.arc,yes,we/31081204.arc
OZ-00MS,10812,10310,long_weapon,31081214,1650,table_long_weapon.etwl,yes,ch/210310.arc,yes,we/31081214.arc
OZ-00MS2B,10814,10309,long_weapon,31081404,1651,table_long_weapon.etwl,yes,ch/210309.arc,yes,we/31081404.arc
GX-9900,10900,10154,long_weapon,31090011,1652,table_long_weapon.etwl,yes,ch/210154.arc,yes,we/31090011.arc
